Name,Rate,Vote,Year,Director,Star,Summary
Spider-Man: No Way Home,8.9,284449.0,2021,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
The Witcher,8.2,404498.0,2019,,"Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
The Matrix Resurrections,5.8,82350.0,2021,Lana Wachowski,"Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II, Jonathan Groff","Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more."
Hawkeye,7.9,72625.0,2021,,"Jeremy Renner, Hailee Steinfeld, Florence Pugh, Vera Farmiga","Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton."
The Wheel of Time,7.3,59036.0,2021,,"Rosamund Pike, Daniel Henney, Madeleine Madden, Zoë Robins","Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan."
The Northman,,,2022,Robert Eggers,"Alexander Skarsgård, Anya Taylor-Joy, Willem Dafoe, Nicole Kidman","From acclaimed director Robert Eggers, The Northman is an epic revenge thriller that explores how far a Viking prince will go to seek justice for his murdered father."
The Matrix,8.7,1801310.0,1999,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
The Lost City,,,2022,"Aaron Nee, Adam Nee","Sandra Bullock, Brad Pitt, Daniel Radcliffe, Channing Tatum",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
Doctor Strange in the Multiverse of Madness,,,2022,Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Rachel McAdams, Xochitl Gomez",Plot unknown. Sequel to the 2016 Marvel film 'Doctor Strange'.
Resident Evil: Welcome to Raccoon City,5.2,18173.0,2021,Johannes Roberts,"Kaya Scodelario, Robbie Amell, Hannah John-Kamen, Tom Hopper","Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City."
The King's Man,6.8,2993.0,2021,Matthew Vaughn,"Ralph Fiennes, Gemma Arterton, Rhys Ifans, Harris Dickinson","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions."
