Name,Rate,Vote,Year,Director,Star,Summary
The Lost City,,,2022,"Aaron Nee, Adam Nee","Sandra Bullock, Brad Pitt, Daniel Radcliffe, Channing Tatum",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
The King's Man,6.8,2993.0,2021,Matthew Vaughn,"Ralph Fiennes, Gemma Arterton, Rhys Ifans, Harris Dickinson","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions."
Spider-Man: Into the Spider-Verse,8.4,451490.0,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
Red Notice,6.4,189245.0,2021,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot, Ritu Arya",An Interpol agent tracks the world's most wanted art thief.
Free Guy,7.2,241491.0,2021,Shawn Levy,"Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery","A bank teller discovers that he's actually an NPC inside a brutal, open world video game."
Home Sweet Home Alone,3.6,13844.0,2021,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea",A married couple tries to steal back a valuable heirloom from a troublesome kid.
The Suicide Squad,7.3,268576.0,2021,James Gunn,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese."
Cowboy Bebop,6.7,30361.0,2021,,"John Cho, Mustafa Shakir, Daniella Pineda, Elena Satine",A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world - for the right price.
WandaVision,8.0,252551.0,2021,,"Elizabeth Olsen, Paul Bettany, Kathryn Hahn, Teyonah Parris","Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems."
Cobra Kai,8.6,131668.0,2018,,"Courtney Henggeler, Mary Mouser, Tanner Buchanan, Ralph Macchio","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
