Name,Rate,Vote,Year,Director,Star,Summary
Encanto,7.4,31488.0,2021,"Jared Bush, Byron Howard, Charise Castro Smith","Stephanie Beatriz, María Cecilia Botero, John Leguizamo, Mauro Castillo",A young Colombian girl has to face the frustration of being the only member of her family without magical powers.
Arcane,9.2,116005.0,2021,,"Hailee Steinfeld, Kevin Alejandro, Jason Spisak, Harry Lloyd","Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart."
Sing 2,7.6,3011.0,2021,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Tori Kelly",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
The Grinch,6.4,64548.0,2018,"Yarrow Cheney, Scott Mosier","Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams",A grumpy Grinch (Benedict Cumberbatch) plots to ruin Christmas for the village of Whoville.
The Polar Express,6.6,195595.0,2004,Robert Zemeckis,"Tom Hanks, Chris Coppola, Michael Jeter, Leslie Zemeckis","On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas."
Ron's Gone Wrong,7.1,13164.0,2021,"Sarah Smith, Jean-Philippe Vine, Octavio E. Rodriguez","Jack Dylan Grazer, Zach Galifianakis, Ed Helms, Olivia Colman","The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship."
Klaus,8.2,131990.0,2019,"Sergio Pablos, Carlos Martínez López","Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Spider-Man: Into the Spider-Verse,8.4,451490.0,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
Sing,7.1,147700.0,2016,"Garth Jennings, Christophe Lourdelet","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same."
Rumble,5.8,1965.0,2021,Hamish Grieve,"Geraldine Viswanathan, Will Arnett, Stephen A. Smith, Terry Crews","In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father's footsteps by coaching a loveable underdog monster into a champion."
Back to the Outback,6.6,3346.0,2021,"Harry Cripps, Clare Knight","Guy Pearce, Jacki Weaver, Isla Fisher, Eric Bana","Tired of being locked in a reptile house where humans gawk at them like they're monsters, a group of Australia's deadliest creatures plot a daring escape from their zoo to the Outback."
A Christmas Carol,6.8,110625.0,2009,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine","An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions."
What If...?,7.5,75780.0,2021,,"Jeffrey Wright, Terri Douglas, Matthew Wood, Robin Atkin Downes","Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory."
Attack on Titan,9.0,265152.0,2013–2022,,"Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
Demon Slayer: Kimetsu no Yaiba,8.7,60772.0,2019,,"Natsuki Hanae, Zach Aguilar, Hiro Shimono, Yoshitsugu Matsuoka","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
South Park,8.7,350109.0,1997,,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
The Simpsons,8.6,386499.0,1989,,"Dan Castellaneta, Nancy Cartwright, Harry Shearer, Julie Kavner",The satiric adventures of a working-class family in the misfit city of Springfield.
The Nightmare Before Christmas,8.0,321223.0,1993,Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
The Witcher: Nightmare of the Wolf,7.3,35523.0,2021,Kwang Il Han,"Theo James, Mary McDonnell, Lara Pulver, Graham McTavish","Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
Rudolph the Red-Nosed Reindeer,8.0,30041.0,1964,Larry Roemer,"Billie Mae Richards, Burl Ives, Larry D. Mann, Paul Soles","Young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose."
Family Guy,8.1,320089.0,1999,,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis","In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another."
Archer,8.6,147170.0,2009,,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
Rick and Morty,9.2,449140.0,2013,,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
