Name,Rate,Vote,Year,Director,Star,Summary
Don't Look Up,7.3,104525.0,2021,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett",Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.
Encanto,7.4,31488.0,2021,"Jared Bush, Byron Howard, Charise Castro Smith","Stephanie Beatriz, María Cecilia Botero, John Leguizamo, Mauro Castillo",A young Colombian girl has to face the frustration of being the only member of her family without magical powers.
Christmas Vacation,7.6,179391.0,1989,Jeremiah S. Chechik,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki",The Griswold family's plans for a big family Christmas predictably turn into a big disaster.
Love Actually,7.6,463010.0,2003,Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Home Alone,7.6,534277.0,1990,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard",An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
The Lost City,,,2022,"Aaron Nee, Adam Nee","Sandra Bullock, Brad Pitt, Daniel Radcliffe, Channing Tatum",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
Emily in Paris,7.0,65278.0,2020,,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo",A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
Licorice Pizza,8.3,3700.0,2021,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
The King's Man,6.8,2993.0,2021,Matthew Vaughn,"Ralph Fiennes, Gemma Arterton, Rhys Ifans, Harris Dickinson","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions."
How the Grinch Stole Christmas,6.2,233308.0,2000,Ron Howard,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor","On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
Elf,7.0,253708.0,2003,Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel","Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit."
White Christmas,7.6,41137.0,1954,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen",A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.
Sing 2,7.6,3011.0,2021,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Tori Kelly",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
And Just Like That...,5.5,9330.0,2021,,"Sarah Jessica Parker, Cynthia Nixon, Kristin Davis, Sara Ramirez","The series will follow Carrie, Miranda and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s."
A Christmas Story,7.9,143286.0,1983,Bob Clark,"Peter Billingsley, Melinda Dillon, Darren McGavin, Scott Schwartz","In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift."
The French Dispatch,7.4,49907.0,2021,Wes Anderson,"Benicio Del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine""."
It's Always Sunny in Philadelphia,8.8,207469.0,2005,,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson",Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
The Santa Clause,6.5,110999.0,1994,John Pasquin,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd","When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place."
Ted Lasso,8.8,147895.0,2020,,"Jason Sudeikis, Brett Goldstein, Brendan Hunt, Nick Mohammed","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
Home Alone 2: Lost in New York,6.8,335087.0,1992,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara","One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind."
