Name,Rate,Vote,Year,Director,Star,Summary
Love Actually,7.6,463010.0,2003,Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
The Lost City,,,2022,"Aaron Nee, Adam Nee","Sandra Bullock, Brad Pitt, Daniel Radcliffe, Channing Tatum",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
Emily in Paris,7.0,65278.0,2020,,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo",A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
Licorice Pizza,8.3,3700.0,2021,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
Elf,7.0,253708.0,2003,Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel","Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit."
White Christmas,7.6,41137.0,1954,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen",A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.
And Just Like That...,5.5,9330.0,2021,,"Sarah Jessica Parker, Cynthia Nixon, Kristin Davis, Sara Ramirez","The series will follow Carrie, Miranda and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s."
The French Dispatch,7.4,49907.0,2021,Wes Anderson,"Benicio Del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine""."
Scrooged,7.0,96366.0,1988,Richard Donner,"Bill Murray, Karen Allen, John Forsythe, John Glover","A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve."
The Holiday,6.9,273532.0,2006,Nancy Meyers,"Kate Winslet, Cameron Diaz, Jude Law, Jack Black","Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
Last Christmas,6.5,71196.0,2019,Paul Feig,"Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller","Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true."
Friends,8.8,920257.0,1994–2004,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.
Single All the Way,6.2,12084.0,2021,Michael Mayer,"Michael Urie, Philemon Chambers, Luke Macfarlane, Barry Bostwick","Desperate to avoid his family's judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they're now in a relationship."
Love Hard,6.3,41026.0,2021,Hernan Jimenez,"Nina Dobrev, Jimmy O. Yang, Darren Barnet, James Saito","An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love."
Atrangi Re,7.1,9792.0,2021,Aanand L. Rai,"Dhanush, Sara Ali Khan, Akshay Kumar, Seema Biswas","A Tamil boy meets a girl from Bihar, what follows is a love story for the ages. A non-linear narrative of two romances running in parallel from different timelines."
Sex and the City,7.2,117717.0,1998–2004,,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.
The Big Bang Theory,8.1,763745.0,2007–2019,,"Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
Four Christmases,5.7,70544.0,2008,Seth Gordon,"Reese Witherspoon, Vince Vaughn, Mary Steenburgen, Robert Duvall",A couple struggles to visit all four of their divorced parents on Christmas.
Modern Family,8.4,396023.0,2009–2020,,"Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell",Three different but related families face trials and tribulations in their own uniquely comedic ways.
A California Christmas,5.8,9180.0,2020,Shaun Paul Piccinino,"Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio","With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas."
A Castle for Christmas,5.5,10282.0,2021,Mary Lambert,"Brooke Shields, Cary Elwes, Lee Ross, Andi Osho","To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it."
A California Christmas: City Lights,5.5,1625.0,2021,Shaun Paul Piccinino,"Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio","Sequel to ""A California Christmas"". Follows Callie and Joseph one year after they fell in love, now running a dairy farm and winery, but their romance is threatened when business and family obligations call Joseph back to the city."
How I Met Your Mother,8.3,643985.0,2005–2014,,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
Castle,8.1,152614.0,2009–2016,,"Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes."
With Love,7.6,992.0,2021,,"Emeraude Toubia, Mark Indelicato, Isis King, Vincent Rodriguez III","Follows the Diaz siblings, Lily and Jorge, who are on a mission to find love and purpose. The Diaz siblings cross paths with seemingly unrelated residents during some of the most heightened days of the year -the holidays."
The Family Stone,6.3,66212.0,2005,Thomas Bezucha,"Dermot Mulroney, Sarah Jessica Parker, Claire Danes, Diane Keaton","An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life."
Mistletoe Mixup,5.6,565.0,2021,Andrew Lawrence,"Danielle C. Ryan, Joey Lawrence, Matthew Lawrence, Andrew Lawrence","A workaholic with no time for romance, or the holidays ends up meeting two potential suitors on the same day, but unbeknownst to her, they turn out to be brothers. A sibling squabble commences in this holiday romance."
Dickinson,7.5,10623.0,2019–2021,,"Hailee Steinfeld, Adrian Enscoe, Anna Baryshnikov, Jane Krakowski",An inside look at the world of writer Emily Dickinson.
Holidate,6.1,59233.0,2020,John Whitesell,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher","Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way."
Bones,7.8,150100.0,2005–2017,,"Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne","Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
Two and a Half Men,7.0,252204.0,2003–2015,,"Jon Cryer, Ashton Kutcher, Angus T. Jones, Conchata Ferrell",A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.
The Worst Person in the World,8.1,4839.0,2021,Joachim Trier,"Renate Reinsve, Anders Danielsen Lie, Maria Grazia Di Meo, Mia McGovern Zaini","The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
The Family Man,6.8,108189.0,2000,Brett Ratner,"Nicolas Cage, Téa Leoni, Don Cheadle, Jeremy Piven","A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife."
This Is Us,8.6,121776.0,2016–2022,,"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz","A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
Happiest Season,6.6,35184.0,2020,Clea DuVall,"Kristen Stewart, Mackenzie Davis, Mary Steenburgen, Victor Garber","A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas."
The Hating Game,6.5,3156.0,2021,Peter Hutchings,"Lucy Hale, Austin Stowell, Damon Daunno, Sakina Jaffrey","Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him."
'Tis the Season to be Merry,7.0,435.0,2021,Gary Yates,"Rachael Leigh Cook, Travis Van Winkle, Karen Malina White, Amy Groening","Looking for a fresh angle on her new book on relationships, Merry heads to snow covered Vermont. She finds a new perspective and Christmas cheer with charismatic aid worker Chris."
Meet Me in St. Louis,7.6,23391.0,1944,Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer",Young love and childish fears highlight a year in the life of a turn-of-the-century family.
Insecure,7.9,15959.0,2016–2021,,"Issa Rae, Yvonne Orji, Jay Ellis, Natasha Rothwell",Follows the awkward experiences and racy tribulations of a modern-day African-American woman.
Noelle,6.3,20346.0,2019,Marc Lawrence,"Anna Kendrick, Shirley MacLaine, Bill Hader, Kingsley Ben-Adir","Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet."
Boxing Day,5.5,661.0,2021,Aml Ameen,"Aml Ameen, Aja Naomi King, Leigh-Anne Pinnock, Tamara Lawrance","Inspired by writer, director, and star Aml Ameen's life, Boxing Day follows Melvin (Ameen), a British author living in America, who returns home to London for Christmas to introduce his ...                See full summary »
"
Just Friends,6.2,114349.0,2005,Roger Kumble,"Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein","While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer."
Big Mouth,7.9,70704.0,2017,,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas",Teenage friends find their lives upended by the wonders and horrors of puberty.
Grease,7.2,257335.0,1978,Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway","Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
Let It Snow,5.8,20945.0,2019,Luke Snellin,"Isabela Merced, Shameik Moore, Odeya Rush, Liv Hewson","In a small town on Christmas Eve, a snowstorm brings together a group of young people."
The Bishop's Wife,7.6,17180.0,1947,Henry Koster,"Cary Grant, Loretta Young, David Niven, Monty Woolley",A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.
Holiday Inn,7.4,14939.0,1942,"Mark Sandrich, Robert Allen","Bing Crosby, Fred Astaire, Marjorie Reynolds, Virginia Dale","At an inn which is open only on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer."
Sex/Life,5.4,17911.0,2021,,"Sarah Shahi, Mike Vogel, Adam Demos, Margaret Odette",A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.
Crazy Rich Asians,6.9,160127.0,2018,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family."
Unaccompanied Minors,5.4,11392.0,2006,Paul Feig,"Dyllan Christopher, Tyler James Williams, Gia Mantegna, Quinn Shephard",A group of unaccompanied minors bond while snowed in at the midwestern Hoover International Airport during the holiday season and ultimately create a makeshift holiday themselves.
