Name,Rate,Vote,Year,Director,Star,Summary
Hawkeye,7.9,72625.0,2021,,"Jeremy Renner, Hailee Steinfeld, Florence Pugh, Vera Farmiga","Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton."
The Unforgivable,7.2,52091.0,2021,Nora Fingscheidt,"Sandra Bullock, Viola Davis, Vincent D'Onofrio, Jon Bernthal",A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.
Dexter: New Blood,8.9,30708.0,2021–2022,,"Michael C. Hall, Jack Alcott, Julia Jones, Johnny Sequoyah","Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami."
The King's Man,6.8,2993.0,2021,Matthew Vaughn,"Ralph Fiennes, Gemma Arterton, Rhys Ifans, Harris Dickinson","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions."
Pushpa: The Rise - Part 1,8.2,17546.0,2021,Sukumar,"Allu Arjun, Fahadh Faasil, Rashmika Mandanna, Dhananjaya","Story of Pushpa Raj, a lorry driver in Seshachalam forests of South India, set in the backdrop of red sandalwood smuggling. Red Sandalwood is endemic to South-Eastern Ghats (mountain range) of India."
West Side Story,7.9,17364.0,2021,Steven Spielberg,"Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez","An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds."
Nightmare Alley,7.5,4415.0,2021,Guillermo del Toro,"Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe",An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.
Daredevil,8.6,391254.0,2015–2018,,"Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Death on the Nile,,,2022,Kenneth Branagh,"Kenneth Branagh, Gal Gadot, Tom Bateman, Rose Leslie","While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress."
Money Heist,8.2,428091.0,2017–2021,,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
House of Gucci,6.9,39667.0,2021,Ridley Scott,"Lady Gaga, Adam Driver, Al Pacino, Jeremy Irons","When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder."
