Name,Rate,Vote,Year,Director,Star,Summary
The Witcher,8.2,404498.0,2019,,"Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
Don't Look Up,7.3,104525.0,2021,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett",Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.
Hawkeye,7.9,72625.0,2021,,"Jeremy Renner, Hailee Steinfeld, Florence Pugh, Vera Farmiga","Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton."
1883,9.2,6306.0,2021,,"Sam Elliott, Tim McGraw, Faith Hill, Isabel May",Follows the Dutton family on a journey west through the Great Plains toward the last bastion of untamed America.
Yellowstone,8.7,75720.0,2018,,"Brecken Merrill, Jefferson White, Gil Birmingham, Kevin Costner",A ranching family in Montana faces off against others encroaching on their land.
The Wheel of Time,7.3,59036.0,2021,,"Rosamund Pike, Daniel Henney, Madeleine Madden, Zoë Robins","Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan."
The Northman,,,2022,Robert Eggers,"Alexander Skarsgård, Anya Taylor-Joy, Willem Dafoe, Nicole Kidman","From acclaimed director Robert Eggers, The Northman is an epic revenge thriller that explores how far a Viking prince will go to seek justice for his murdered father."
Succession,8.8,97193.0,2018,,"Nicholas Braun, Brian Cox, Kieran Culkin, Peter Friedman","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
Encanto,7.4,31488.0,2021,"Jared Bush, Byron Howard, Charise Castro Smith","Stephanie Beatriz, María Cecilia Botero, John Leguizamo, Mauro Castillo",A young Colombian girl has to face the frustration of being the only member of her family without magical powers.
The Unforgivable,7.2,52091.0,2021,Nora Fingscheidt,"Sandra Bullock, Viola Davis, Vincent D'Onofrio, Jon Bernthal",A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.
Love Actually,7.6,463010.0,2003,Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Being the Ricardos,6.7,8848.0,2021,Aaron Sorkin,"Nicole Kidman, Javier Bardem, J.K. Simmons, Nina Arianda",Follows Lucy and Desi as they face a crisis that could end their careers and another that could end their marriage.
Dexter: New Blood,8.9,30708.0,2021–2022,,"Michael C. Hall, Jack Alcott, Julia Jones, Johnny Sequoyah","Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami."
Emily in Paris,7.0,65278.0,2020,,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo",A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
