Name,Rate,Vote,Year,Director,Star,Summary
Doctor Strange in the Multiverse of Madness,,,2022,Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Rachel McAdams, Xochitl Gomez",Plot unknown. Sequel to the 2016 Marvel film 'Doctor Strange'.
Resident Evil: Welcome to Raccoon City,5.2,18173.0,2021,Johannes Roberts,"Kaya Scodelario, Robbie Amell, Hannah John-Kamen, Tom Hopper","Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City."
Yellowjackets,8.0,6986.0,2021,,"Melanie Lynskey, Tawny Cypress, Ella Purnell, Sophie Nélisse",A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Ontario wilderness.
The Walking Dead,8.2,918585.0,2010–2022,,"Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
Supernatural,8.4,416806.0,2005–2020,,"Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth."
Scream,,,2022,"Matt Bettinelli-Olpin, Tyler Gillett","Neve Campbell, Courteney Cox, David Arquette, Marley Shelton","Twenty-five years after the original series of murders in Woodsboro, a new killer emerges, and Sidney Prescott must return to uncover the truth."
Antlers,6.0,13385.0,2021,Scott Cooper,"Keri Russell, Jesse Plemons, Jeremy T. Thomas, Graham Greene","In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature."
Last Night in Soho,7.2,64311.0,2021,Edgar Wright,"Thomasin McKenzie, Anya Taylor-Joy, Matt Smith, Diana Rigg",An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.
Stranger Things,8.7,944475.0,2016,,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Silent Night,5.7,6988.0,2021,Camille Griffin,"Keira Knightley, Matthew Goode, Roman Griffin Davis, Annabelle Wallis","Nell, Simon, and their son Art are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die."
American Horror Story,8.0,302019.0,2011,,"Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley."
Attack on Titan,9.0,265152.0,2013–2022,,"Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
Morbius,,,2022,Daniel Espinosa,"Michael Keaton, Jared Leto, Adria Arjona, Jared Harris","Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead."
Krampus,6.2,70236.0,2015,Michael Dougherty,"Adam Scott, Toni Collette, David Koechner, Allison Tolman",A boy who has a bad Christmas accidentally summons a festive demon to his family home.
Gremlins,7.3,213399.0,1984,Joe Dante,"Zach Galligan, Phoebe Cates, Hoyt Axton, John Louie",A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.
Midnight Mass,7.7,85775.0,2021,,"Kate Siegel, Zach Gilford, Kristin Lehman, Samantha Sloyan","An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest."
The Vampire Diaries,7.7,303036.0,2009–2017,,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
Titane,6.7,22279.0,2021,Julia Ducournau,"Vincent Lindon, Agathe Rousselle, Garance Marillier, Laïs Salameh","Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys."
The Lighthouse,7.5,180901.0,2019,Robert Eggers,"Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes",Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.
