Name,Rate,Vote,Year,Director,Star,Summary
The Witcher,8.2,404498.0,2019,,"Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
Hawkeye,7.9,72625.0,2021,,"Jeremy Renner, Hailee Steinfeld, Florence Pugh, Vera Farmiga","Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton."
Dexter: New Blood,8.9,30708.0,2021–2022,,"Michael C. Hall, Jack Alcott, Julia Jones, Johnny Sequoyah","Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami."
Station Eleven,7.0,2265.0,2021–2022,,"Joe Pingue, Mackenzie Davis, Himesh Patel, Matilda Lawler","A post apocalyptic saga spanning multiple timelines, telling the stories of survivors of a devastating flu as they attempt to rebuild and reimagine the world anew while holding on to the best of what's been lost."
Death on the Nile,,,2022,Kenneth Branagh,"Kenneth Branagh, Gal Gadot, Tom Bateman, Rose Leslie","While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress."
Money Heist,8.2,428091.0,2017–2021,,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
Yellowjackets,8.0,6986.0,2021,,"Melanie Lynskey, Tawny Cypress, Ella Purnell, Sophie Nélisse",A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Ontario wilderness.
The Expanse,8.5,130722.0,2015,,"Steven Strait, Dominique Tipper, Wes Chatham, Shohreh Aghdashloo","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente."
Dexter,8.6,694015.0,2006–2013,,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series."
Lost in Space,7.3,89005.0,2018–2021,,"Molly Parker, Toby Stephens, Maxwell Jenkins, Taylor Russell","After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers."
The Batman,,,2022,Matt Reeves,"Robert Pattinson, Peter Sarsgaard, Andy Serkis, Zoë Kravitz","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler."
Squid Game,8.0,355867.0,2021,,"Lee Jung-jae, Park Hae-soo, Wi Ha-Joon, Jung Hoyeon","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake."
Doctor Who,8.6,212839.0,2005,,"Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Supernatural,8.4,416806.0,2005–2020,,"Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth."
NCIS,7.7,134737.0,2003,,"Mark Harmon, David McCallum, Sean Murray, Pauley Perrette","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs."
Scream,,,2022,"Matt Bettinelli-Olpin, Tyler Gillett","Neve Campbell, Courteney Cox, David Arquette, Marley Shelton","Twenty-five years after the original series of murders in Woodsboro, a new killer emerges, and Sidney Prescott must return to uncover the truth."
The Blacklist,8.0,227495.0,2013,,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
Antlers,6.0,13385.0,2021,Scott Cooper,"Keri Russell, Jesse Plemons, Jeremy T. Thomas, Graham Greene","In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature."
Last Night in Soho,7.2,64311.0,2021,Edgar Wright,"Thomasin McKenzie, Anya Taylor-Joy, Matt Smith, Diana Rigg",An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.
Stranger Things,8.7,944475.0,2016,,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Criminal Minds,8.1,181942.0,2005–2020,,"Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Joe Mantegna","The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again."
Law & Order: Special Victims Unit,8.0,95762.0,1999,,"Mariska Hargitay, Christopher Meloni, Ice-T, Dann Florek","This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes."
The Silent Sea,7.1,2280.0,2021,,"Bae Doona, Gong Yoo, Joon Lee, Feodor Chin","During a perilous 24-hour mission on the moon, space explorers try to retrieve samples from an abandoned research facility steeped in classified secrets."
Castle,8.1,152614.0,2009–2016,,"Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes."
Aranyak,8.0,4494.0,2021,,"Parambrata Chattopadhyay, Ashutosh Rana, Raveena Tandon, Taneesha Joshi","Political ploys, personal agendas and a beastly myth all surface as two mismatched hill station cops navigate a web of suspects after a puzzling murder."
The Witcher: Blood Origin,,,2022,,"Michelle Yeoh, Laurence O'Fuarain, Jacob Collins-Levy, Lenny Henry","Prequel to the Netflix series 'The Witcher', set in an elven world 1,200 years before the show, centering on the origins of the very first Witcher."
Midnight Mass,7.7,85775.0,2021,,"Kate Siegel, Zach Gilford, Kristin Lehman, Samantha Sloyan","An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest."
Only Murders in the Building,8.1,50225.0,2021,,"Steve Martin, Martin Short, Selena Gomez, Aaron Dominguez",Three strangers who share an obsession with true crime suddenly find themselves caught up in one.
Westworld,8.6,460233.0,2016,,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence."
Riverdale,6.7,134722.0,2017,,"Lili Reinhart, Camila Mendes, Cole Sprouse, K.J. Apa","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
Midsomer Murders,7.8,29687.0,1997,,"John Nettles, Jane Wymark, Barry Jackson, Neil Dudgeon",A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.
