Name,Rate,Vote,Year,Director,Star,Summary
Spider-Man: No Way Home,8.9,284449.0,2021,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
The Matrix Resurrections,5.8,82350.0,2021,Lana Wachowski,"Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II, Jonathan Groff","Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more."
Don't Look Up,7.3,104525.0,2021,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett",Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.
Hawkeye,7.9,72625.0,2021,,"Jeremy Renner, Hailee Steinfeld, Florence Pugh, Vera Farmiga","Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton."
The Matrix,8.7,1801310.0,1999,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Doctor Strange in the Multiverse of Madness,,,2022,Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Rachel McAdams, Xochitl Gomez",Plot unknown. Sequel to the 2016 Marvel film 'Doctor Strange'.
Resident Evil: Welcome to Raccoon City,5.2,18173.0,2021,Johannes Roberts,"Kaya Scodelario, Robbie Amell, Hannah John-Kamen, Tom Hopper","Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City."
Spider-Man,7.3,755426.0,2002,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
Station Eleven,7.0,2265.0,2021–2022,,"Joe Pingue, Mackenzie Davis, Himesh Patel, Matilda Lawler","A post apocalyptic saga spanning multiple timelines, telling the stories of survivors of a devastating flu as they attempt to rebuild and reimagine the world anew while holding on to the best of what's been lost."
Spider-Man: Homecoming,7.4,582831.0,2017,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
