Name,Rate,Vote,Year,Director,Star,Summary
Spider-Man: No Way Home,8.9,284449.0,2021,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
Hawkeye,7.9,72625.0,2021,,"Jeremy Renner, Hailee Steinfeld, Florence Pugh, Vera Farmiga","Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton."
Doctor Strange in the Multiverse of Madness,,,2022,Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Rachel McAdams, Xochitl Gomez",Plot unknown. Sequel to the 2016 Marvel film 'Doctor Strange'.
Spider-Man,7.3,755426.0,2002,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
Spider-Man: Homecoming,7.4,582831.0,2017,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
Daredevil,8.6,391254.0,2015–2018,,"Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
The Amazing Spider-Man,6.9,605425.0,2012,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
Spider-Man: Far from Home,7.4,413219.0,2019,Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
The Matrix Reloaded,7.2,560487.0,2003,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation."
The Amazing Spider-Man 2,6.6,455898.0,2014,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti","When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones."
Venom: Let There Be Carnage,6.0,135817.0,2021,Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution."
The Matrix Revolutions,6.8,483479.0,2003,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.
Spider-Man 3,6.2,545774.0,2007,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
Spider-Man 2,7.3,601271.0,2004,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Alfred Molina, James Franco",Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.
Shang-Chi and the Legend of the Ten Rings,7.5,265101.0,2021,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Chiu-Wai Leung, Ben Kingsley","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization."
Eternals,6.8,125230.0,2021,Chloé Zhao,"Gemma Chan, Richard Madden, Angelina Jolie, Salma Hayek","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations."
Avengers: Endgame,8.4,980976.0,2019,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Titans,7.6,89402.0,2018,,"Brenton Thwaites, Anna Diop, Ryan Potter, Teagan Croft",A team of young superheroes combat evil and other perils.
The Batman,,,2022,Matt Reeves,"Robert Pattinson, Peter Sarsgaard, Andy Serkis, Zoë Kravitz","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler."
Spider-Man: Into the Spider-Verse,8.4,451490.0,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
Jingle All the Way,5.7,101406.0,1996,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson","A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out of them, and he must travel all over town and compete with everybody else in order to find one."
Black Widow,6.7,306648.0,2021,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.
Loki,8.3,242599.0,2021,,"Tom Hiddleston, Owen Wilson, Gugu Mbatha-Raw, Sophia Di Martino",The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”
The Boys,8.7,331552.0,2019,,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
What If...?,7.5,75780.0,2021,,"Jeffrey Wright, Terri Douglas, Matthew Wood, Robin Atkin Downes","Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory."
The Suicide Squad,7.3,268576.0,2021,James Gunn,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese."
WandaVision,8.0,252551.0,2021,,"Elizabeth Olsen, Paul Bettany, Kathryn Hahn, Teyonah Parris","Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems."
Morbius,,,2022,Daniel Espinosa,"Michael Keaton, Jared Leto, Adria Arjona, Jared Harris","Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead."
Avengers: Infinity War,8.4,956827.0,2018,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Venom,6.7,441140.0,2018,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it."
The Flash,7.6,330288.0,2014,,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City."
The Dark Knight,9.0,2462708.0,2008,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Kingsman: The Secret Service,7.7,626257.0,2014,Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine","A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
Thor: Love and Thunder,,,2022,Taika Waititi,"Natalie Portman, Taika Waititi, Karen Gillan, Matt Damon",The sequel to Thor: Ragnarok and the fourth movie in the Thor saga.
Doctor Strange,7.5,663411.0,2016,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
The Punisher,8.5,206349.0,2017–2019,,"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore","After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
Kingsman: The Golden Circle,6.7,299264.0,2017,Matthew Vaughn,"Taron Egerton, Colin Firth, Mark Strong, Channing Tatum","After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy."
Superman and Lois,7.9,23889.0,2021,,"Tyler Hoechlin, Elizabeth Tulloch, Jordan Elsass, Alex Garfin","Follow the world's most famous super hero and comic books' most famous journalist as they deal with all the stress, pressures, and complexities that come with being working parents in today's society."
The Falcon and the Winter Soldier,7.3,176912.0,2021,,"Anthony Mackie, Sebastian Stan, Wyatt Russell, Erin Kellyman","Following the events of 'Avengers: Endgame,' Sam Wilson/Falcon and Bucky Barnes/Winter Soldier team up in a global adventure that tests their abilities -- and their patience."
Zack Snyder's Justice League,8.1,351524.0,2021,Zack Snyder,"Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
Spider-Man: Across the Spider-Verse - Part One,,,2022,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Oscar Isaac, Issa Rae","Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time, friendly neighborhood Spider-Man across the ...                See full summary »
"
Captain America: Civil War,7.8,725863.0,2016,"Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
Iron Man,7.9,1000523.0,2008,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
Minnal Murali,8.6,10763.0,2021,Basil Joseph,"Tovino Thomas, Guru Somasundaram, Vasisht Umesh, Femina George","The film revolves around the main character of Jaison, played by Tovino Thomas, who is hit by a lightning and gets supernatural powers.The following events and situations form the basis of the film."
The Avengers,8.0,1325548.0,2012,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Agents of S.H.I.E.L.D.,7.5,209682.0,2013–2020,,"Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker","The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
Ghostbusters,7.8,388722.0,1984,Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
The Umbrella Academy,8.0,189710.0,2019,,"Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman","A family of former child heroes, now grown apart, must reunite to continue to protect the world."
Daredevil,5.3,214395.0,2003,Mark Steven Johnson,"Ben Affleck, Jennifer Garner, Colin Farrell, Michael Clarke Duncan",A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.
Jessica Jones,7.9,203161.0,2015–2019,,"Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss","Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
