Name,Rate,Vote,Year,Director,Star,Summary
The Northman,,,2022,Robert Eggers,"Alexander Skarsgård, Anya Taylor-Joy, Willem Dafoe, Nicole Kidman","From acclaimed director Robert Eggers, The Northman is an epic revenge thriller that explores how far a Viking prince will go to seek justice for his murdered father."
The King's Man,6.8,2993.0,2021,Matthew Vaughn,"Ralph Fiennes, Gemma Arterton, Rhys Ifans, Harris Dickinson","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions."
Pushpa: The Rise - Part 1,8.2,17546.0,2021,Sukumar,"Allu Arjun, Fahadh Faasil, Rashmika Mandanna, Dhananjaya","Story of Pushpa Raj, a lorry driver in Seshachalam forests of South India, set in the backdrop of red sandalwood smuggling. Red Sandalwood is endemic to South-Eastern Ghats (mountain range) of India."
Station Eleven,7.0,2265.0,2021–2022,,"Joe Pingue, Mackenzie Davis, Himesh Patel, Matilda Lawler","A post apocalyptic saga spanning multiple timelines, telling the stories of survivors of a devastating flu as they attempt to rebuild and reimagine the world anew while holding on to the best of what's been lost."
Die Hard,8.2,838003.0,1988,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Nightmare Alley,7.5,4415.0,2021,Guillermo del Toro,"Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe",An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.
Daredevil,8.6,391254.0,2015–2018,,"Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
No Time to Die,7.4,255586.0,2021,Cary Joji Fukunaga,"Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
The Last Duel,7.5,68620.0,2021,Ridley Scott,"Matt Damon, Adam Driver, Jodie Comer, Harriet Walter",King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.
Money Heist,8.2,428091.0,2017–2021,,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
Yellowjackets,8.0,6986.0,2021,,"Melanie Lynskey, Tawny Cypress, Ella Purnell, Sophie Nélisse",A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Ontario wilderness.
Venom: Let There Be Carnage,6.0,135817.0,2021,Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution."
Dexter,8.6,694015.0,2006–2013,,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series."
The Tragedy of Macbeth,7.5,844.0,2021,Joel Coen,"Denzel Washington, Frances McDormand, Alex Hassell, Bertie Carvel","A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power."
